trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.95, 'e': 0.9991181296463766}",25,0,-116.50064248970543,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.95, 'e': 0.9990756424412622}",20,0,-161.72479117887113,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
44,False,"{'a': 0.95, 'e': 0.9990321561605888}",20,0,-131.5517182228024,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.95, 'e': 0.9989876708478425}",25,8,-163.91117636555788,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 3}",1
46,False,"{'a': 0.95, 'e': 0.9989421865475084}",20,0,-90.868245828828,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.95, 'e': 0.9988957033050712}",25,0,-121.73255357920354,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
48,False,"{'a': 0.95, 'e': 0.9988482211670138}",20,0,-91.15919516047653,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.95, 'e': 0.9987997401808185}",20,0,-49.248280680104365,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.95, 'e': 0.9987502603949663}",25,13,-26.96795292677092,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.9986997818589368}",30,0,-107.26891230435118,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
52,False,"{'a': 0.95, 'e': 0.9986483046232089}",25,0,-156.76881304657178,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
53,False,"{'a': 0.95, 'e': 0.9985958287392593}",25,0,-106.38637705645263,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.95, 'e': 0.9985423542595644}",20,0,-104.93429120619263,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.95, 'e': 0.9984878812375985}",25,0,-180.6486719550258,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
56,False,"{'a': 0.95, 'e': 0.9984324097278344}",25,0,-126.13813447906462,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.95, 'e': 0.9983759397857438}",25,0,-154.8563730608172,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
58,False,"{'a': 0.95, 'e': 0.9983184714677966}",25,0,-91.06877232065686,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
59,False,"{'a': 0.95, 'e': 0.9982600048314613}",25,0,-200.80864364530214,"{0: 11, 1: 7, 2: 2, 3: 2, 4: 3}",0
60,False,"{'a': 0.95, 'e': 0.9982005399352042}",20,0,-27.163346931130842,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.95, 'e': 0.9981400768384904}",25,0,-126.03314541347191,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
62,False,"{'a': 0.95, 'e': 0.9980786156017829}",20,0,-156.55579741642725,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
63,False,"{'a': 0.95, 'e': 0.9980161562865429}",20,0,-141.97357002208852,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
64,False,"{'a': 0.95, 'e': 0.99795269895523}",25,0,-111.19727751189981,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.95, 'e': 0.9978882436713011}",20,0,-158.0332188122062,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.95, 'e': 0.9978227904992117}",30,0,-123.17989418205589,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
67,False,"{'a': 0.95, 'e': 0.9977563395044151}",25,0,-142.23240868209274,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
68,False,"{'a': 0.95, 'e': 0.9976888907533621}",25,0,-161.5849536915041,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
69,False,"{'a': 0.95, 'e': 0.9976204443135014}",30,0,-190.440194062487,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
70,False,"{'a': 0.95, 'e': 0.9975510002532796}",20,0,-136.71999951189096,"{0: 9, 1: 7, 2: 1, 3: 1, 4: 2}",0
71,False,"{'a': 0.95, 'e': 0.9974805586421406}",20,0,-74.20226531244477,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.95, 'e': 0.9974091195505261}",25,11,-60.110732752474426,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.95, 'e': 0.9973366830498752}",25,0,-17.213534679121814,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.95, 'e': 0.9972632492126244}",25,0,-167.65136486075446,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
75,False,"{'a': 0.95, 'e': 0.9971888181122075}",25,0,-168.87853822434548,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
76,False,"{'a': 0.95, 'e': 0.9971133898230555}",20,0,-141.49445532470145,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
77,False,"{'a': 0.95, 'e': 0.9970369644205967}",20,0,-67.73075525450702,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.95, 'e': 0.9969595419812568}",20,0,-59.800500848081946,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
79,False,"{'a': 0.95, 'e': 0.9968811225824579}",20,0,-127.44038139362615,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
80,False,"{'a': 0.95, 'e': 0.9968017063026194}",20,4,-112.45867958280928,"{0: 8, 1: 1, 2: 4, 3: 2, 4: 1}",1
81,False,"{'a': 0.95, 'e': 0.9967212932211577}",25,0,-72.57845961273047,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
82,False,"{'a': 0.95, 'e': 0.9966398834184859}",30,13,-145.5103896196222,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 2}",1
83,False,"{'a': 0.95, 'e': 0.9965574769760137}",20,0,-8.035072708020415,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.95, 'e': 0.9964740739761475}",25,0,-205.62266248468285,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 4}",0
85,False,"{'a': 0.95, 'e': 0.9963896745022904}",25,0,-46.20857107135243,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.95, 'e': 0.996304278638842}",25,0,-277.6562263194355,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 5}",0
87,False,"{'a': 0.95, 'e': 0.9962178864711978}",30,0,-159.97736072620262,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 0.95, 'e': 0.9961304980857502}",25,0,-103.2310819318383,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
89,False,"{'a': 0.95, 'e': 0.9960421135698875}",25,9,-35.00478184315065,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.9959527330119943}",20,0,-146.15101989488772,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
91,False,"{'a': 0.95, 'e': 0.9958623565014509}",30,0,-205.6059626156749,"{0: 14, 1: 7, 2: 6, 3: 0, 4: 3}",0
92,False,"{'a': 0.95, 'e': 0.9957709841286342}",20,0,-151.25893929715252,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
93,False,"{'a': 0.95, 'e': 0.9956786159849162}",25,0,-103.36246883368949,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
94,False,"{'a': 0.95, 'e': 0.9955852521626654}",20,0,-102.29866782309847,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
95,False,"{'a': 0.95, 'e': 0.9954908927552453}",20,0,-129.63446955485642,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.95, 'e': 0.9953955378570153}",35,0,-61.20018603876213,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
97,False,"{'a': 0.95, 'e': 0.9952991875633305}",35,0,-143.2744205185938,"{0: 22, 1: 1, 2: 10, 3: 1, 4: 1}",0
98,False,"{'a': 0.95, 'e': 0.995201841970541}",25,0,-101.26970981239947,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
99,False,"{'a': 0.95, 'e': 0.9951035011759926}",20,0,-123.58113714729387,"{0: 8, 1: 3, 2: 6, 3: 3, 4: 0}",0
100,False,"{'a': 0.95, 'e': 0.9950041652780257}",30,0,-116.01603539883102,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
101,False,"{'a': 0.95, 'e': 0.9949038343759766}",20,0,-92.63786985076399,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.95, 'e': 0.994802508570176}",20,0,-45.428913198764214,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.95, 'e': 0.9947001879619498}",20,0,-74.22610354835291,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
104,False,"{'a': 0.95, 'e': 0.9945968726536185}",20,0,-106.97706234056736,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
105,False,"{'a': 0.95, 'e': 0.9944925627484974}",20,0,-74.26669453277911,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
106,False,"{'a': 0.95, 'e': 0.9943872583508965}",20,0,-222.8196986161436,"{0: 6, 1: 4, 2: 5, 3: 2, 4: 3}",0
107,False,"{'a': 0.95, 'e': 0.9942809595661201}",20,0,-58.704089319954974,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
108,False,"{'a': 0.95, 'e': 0.9941736665004669}",25,0,-75.03911632416884,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
109,False,"{'a': 0.95, 'e': 0.9940653792612301}",20,0,-112.13755662661116,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
